업체코드,종목코드,종목명,업체명,법인번호,사업자번호,설립일,상장일,상장폐지일,시장구분,결산월,기업규모,주식업종,소속기업집단,NICS산업분류,표준산업대분류,표준산업중분류,코스피구분,상폐사유,상폐사유요약,연도,01_총자본증가율,02_영업이익증가율,03_순이익증가율,04_자기자본증가율,05_매출액증가율,06_종업원수증가율,07_매출액총이익율,08_매출액영업이익율,09_매출액순이익율,10_총자산영업이익율,11_총자산순이익율,12_자기자본영업이익율,13_자기자본순이익율,14_금융비용부담율,15_수지비율,16_사내유보대자기자본비율,17_총자본회전율,18_자기자본회전율,19_타인자본회전율,20_유동자산회전율,21_당좌자산회전율,22_재고자산회전율,23_매출채권회전율,24_순운전자본회전율,26_종업원1인당부가가치,27_노동장비율,28_기계장비율,29_자본집약도,30_총자본투자효율,31_설비투자효율,32_1주당매출액,33_주당순이익,34_주당현금흐름,35_주당순자산가치,36_유보율,37_자기자본구성비율,38_유동비율,39_당좌비율,40_현금비율,41_재고자산대순운전자본비율,42_매출채권대매입채무비율,43_부채비율,44_이자보상비율,45_Cashflow대부채비율,46_Cashflow대차입금비율,47_Cashflow대총자본비율,48_Cashflow대매출액비율,49_기계투자효율,50_부가가치율,51_노동소득분배율,52_자산총계
N324531,A036260,이매진아시아,(주)이매진아시아,131111-0004603,129-81-04567,1976-07-02,1999-12-10,2021-02-15,일반,12.0,중소기업,,이매진아시아,N25401.미디어,J00000.정보통신업(58~63),J59000.영상ㆍ오디오 기록물 제작 및 배급업,코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,기업의계속성_경영의투명성종합판단,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N324531,A036260,이매진아시아,(주)이매진아시아,131111-0004603,129-81-04567,1976-07-02,1999-12-10,2021-02-15,일반,12.0,중소기업,,이매진아시아,N25401.미디어,J00000.정보통신업(58~63),J59000.영상ㆍ오디오 기록물 제작 및 배급업,코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,기업의계속성_경영의투명성종합판단,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2014,-0.0307556,-1.8693488,-0.8778555,-3.08,-0.8852073,0.1287129,-8.14,-33.71,-39.93,-0.0321557,-0.0380869,-0.0794826,-9.41,12.93,153.27,20.89,.1,0.24,0.1602046,,,.52,0.46,.43,,,,"685,600.41",,,1188.9043919,-583.7789431,-905.7271972,3157.9151725,542.49,37.17,133.64,86.13,28.3,141.22,81.81,169.07,-2.61,,,,,,,-288.69,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2015,-0.6677484,0.2241144,-7.829849,-66.77,-0.0720331,0.2894737,4.74,-28.18,-379.91,-0.0292635,-0.3944569,-0.094048,-126.77,12.72,178.51,10.11,0.1,0.33,0.1507275,,,.6,0.69,0.68,,,,"449,132.24",,,1026.268538,-2593.0033233,-427.2241714,1056.1386105,126.06,20.88,114.6,109.26,3.2,36.58,147.82,378.85,-2.22,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2016,-0.9404152,-1.5834042,0.2281561,-94.04,1.8946802,-0.7414966,,,,-0.1613082,-0.6496321,-0.9194446,,,,,,3.66,0.7777352,,,10.95,5.05,,,,,"999,471.92",,,1884.7982821,-1919.4725942,-1118.0088656,14.1133512,,,82.94,68.82,,,,"1,999.63",-7.57,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N065802,A036500,에스에스컴텍,(주)에스에스컴텍,154511-0000870,303-81-03171,1988-04-21,1999-12-14,2017-05-11,폐업,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2014,,,,,,,100.0,18.46,12.12,,,,10.83,.,80.37,62.69,.7,,,0.886214809,0.886214809,,,1.19,,"14,702,230.","11,825,580.",,,,,,,,400.48,78.33,,,213.15,.,,,,57.4,,12.44,17.53,,,,"26,273,254,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2015,0.175664,0.3479218,0.6076553,17.57,0.1045566,0.1267606,100.0,22.53,17.64,0.1653368,0.1294479,0.20717,16.22,.,78.52,67.33,.73,0.92,3.6344391,0.820804001,0.820804001,,7.31,1.17,,"5,128,220.","3,682,010.","350,665.91",,,,441.4893779,,2941.639583,488.39,81.1,459.07,459.07,231.57,.,,23.3,,68.84,,13.01,18.85,,,,"29,833,292,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2016,0.7412998,-0.1650303,-0.0108896,74.13,0.0803933,0.175,100.0,17.41,16.15,0.1001966,0.0929292,0.1167749,10.83,.,81.49,77.09,.58,0.67,4.0535438,0.54527886,0.54527886,,8.0,.81,,"3,756,870.","2,962,690.","411,190.37",,,,379.5140489,,3803.45738,660.73,88.76,788.82,788.82,422.52,.,,12.67,,71.26,,8.01,17.1,,,,"47,470,498,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2017,0.0506694,-0.6716198,-0.4776222,5.07,-0.176732,-0.212766,100.0,6.94,10.25,0.0261958,0.038649,0.0294384,4.34,.,89.,78.05,.38,0.42,3.4244557,0.528024118,0.528024118,,6.39,.56,,"4,332,180.","3,562,600.","656,050.7",,,,169.3812181,,3996.1762203,699.28,89.2,664.74,664.74,384.03,.,,12.1,,29.56,,3.19,8.65,,,,"49,625,005,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2018,-0.035413,-0.7162635,-1.7321822,-3.54,-0.0463781,-0.0810811,100.0,-.2,-11.02,-0.0005652,-0.0313838,-0.0008349,-4.64,1.25,111.63,58.25,.28,0.42,0.8822026,0.0,0.0,,8.99,.84,,"59,431,860.","4,632,770.","824,162.42",,,1585.5925252,-177.8115338,-692.0385251,3800.1631551,660.01,67.7,205.92,205.92,35.27,.,,47.7,-.16,-6.2,-7.96,-1.96,-7.01,,,,"62,461,084,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2019,-0.9147719,-456.6969979,-19.0920688,-91.48,-0.4027661,0.1911765,100.0,-152.04,-370.58,-0.241444,-0.5884954,-0.7041969,-171.64,35.2,369.37,-1.89,.16,0.46,0.2416632,0.0,34.9988522,,5.33,1.64,,"91,953,520.","5,275,460.","687,597.46",,,958.3626488,-3537.1184762,-912.8289165,298.5094641,-23.6,5.05,86.06,86.06,4.67,,,"1,880.78",-4.32,-88.43,-108.46,-117.3,-730.39,,,,"62,762,010,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2020,-5.4808121,0.4771338,0.3449016,,-0.0390395,-0.2222222,78.2,-82.72,-252.63,-0.162148,-0.4951699,1.3469215,,60.69,207.01,-62.31,.2,,0.1749479,0.0,61.8203991,44.24,4.72,-.56,,"94,877,230.","5,817,480.","601,285.05",,,839.5468145,-2090.0014632,-270.6296869,-1275.8474349,-335.78,,38.49,37.48,1.04,,356.16,,-1.36,-17.9,-20.28,-30.17,-107.97,,,,"71,735,455,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2021,,,,,,,93.76,-120.02,-207.48,,,,,74.41,254.5,-119.61,.17,,,0.0,73.5069089,,,-.16,,"63,741,350.","3,318,390.",,,,,,,,-360.69,,,,0.28,,,,,-21.18,-23.82,-54.72,-179.63,,,,"32,979,682,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2022,,,,,,,99.83,-114.52,-116.17,,,,,64.78,168.77,-150.92,.09,,,0.0,41.8609547,,,-.06,,"13,588,010.",.,,,,,,,,-390.66,,,,.23,,,,,-6.71,-7.19,-21.62,-124.76,,,,"25,086,210,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2023,,,,,,,100.0,-338.04,-358.38,,,,,40.37,326.06,-223.15,.06,,,0.0,40.2797569,,,-.03,,"8,244,090.",.,,,,,,,,-445.09,,,,.08,,,,,-8.43,-8.98,-43.47,-296.25,,,,"21,533,644,000."
N119977,A038160,팍스넷,(주)팍스넷,110111-1698830,202-81-63804,1999-05-18,2016-08-01,2021-08-23,외감,12.0,중소기업,,팍스넷,,J00000.정보통신업(58~63),J63000.정보서비스업,코스닥,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),감사의견거절,2024,,,,,,,100.,-324.65,-144.62,,,,,29.52,140.95,-291.11,.05,,,0.0,23.8028987,,,-.02,,,,,,,,,,,-478.44,,,,.57,,,,,-.46,-.49,-3.77,-23.74,,,,"16,592,791,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2014,1.7085306,0.1129718,-0.673734,170.85,-0.8091831,-0.1698113,5.88,-12.57,-47.67,-0.1090238,-0.4134203,-0.3219529,-122.09,4.01,145.02,-26.29,.87,2.56,1.3112602,0.0,1206.5487687,17.8,4.04,9.18,,"97,951,150.","4,454,000.","436,258.45",-45.92,-204.52,1031.7666654,-493.900062,-239.3458061,350.0448217,-30.17,62.88,180.6,155.42,21.09,31.24,90.62,59.02,-3.13,-231.97,-481.43,-65.87,-54.95,"-4,497.75",-39.88,-23.86,"34,568,756,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2015,0.2979605,0.4705038,0.4656577,29.8,-0.7597251,-0.0227273,11.7,-27.7,-106.02,-0.0703684,-0.2692806,-0.1015736,-38.87,1.29,148.1,-18.93,0.25,0.37,0.8267764,0.0,247.5423334,3.7,1.68,1.04,,"96,807,400.","3,710,140.","469,933.28",,,136.6687034,-144.852724,-116.9007931,398.2543175,-20.53,75.17,203.3,177.18,3.12,25.29,150.92,33.04,-21.46,-132.49,-372.13,-24.56,-107.32,,,,"22,408,813,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2016,-0.2156654,1.2151756,-0.9138609,-21.57,2.9047567,0.6976744,48.92,1.53,-51.96,0.0130479,-0.4441054,0.021686,-73.81,4.35,121.99,-42.61,0.85,1.42,2.1456664,0.0,57.3558433,20.12,5.05,5.51,,"61,317,620.","1,783,030.","349,722.59",,,493.9651038,-253.3423598,128.7048165,298.4433628,-47.05,47.97,130.29,120.59,3.35,32.02,585.25,108.48,.35,-79.31,-143.62,-39.44,-68.82,,,,"24,333,506,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2017,-0.735575,-1.3893737,-0.0787117,-73.56,-0.1638057,-0.1917808,41.31,-0.71,-67.03,-0.0057292,-0.5402316,-0.0151924,-143.26,3.18,165.95,-10.95,0.81,2.14,1.293849,0.0,504.5190074,24.38,5.55,-6.52,,"82,284,920.","2,022,910.","393,395.53",,,1034.6642661,-714.0209971,-94.1606465,330.3074555,-34.39,20.85,38.51,33.06,4.97,,323.42,379.56,-.22,-95.56,-154.4,-72.6,-79.1,,,,"29,908,981,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2018,1.5059636,3.0943537,0.9302096,150.6,0.0238383,0.0,45.03,1.45,-4.57,0.0159849,-0.0502273,0.0433971,-13.64,1.95,104.36,15.33,1.1,2.98,1.74023,0.0,461.2822694,25.58,8.02,-4.41,,"81,045,470.","1,772,420.","294,834.01",19.91,72.41,1486.037381,-70.7451696,-36.2955702,707.7035469,40.58,53.06,91.79,77.2,18.21,202.46,300.51,88.46,.74,-5.37,-12.35,-2.29,-2.42,"3,311.24",20.91,69.26,"18,191,682,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2019,2.9077865,-17.1023456,-8.4809505,290.78,-0.0564503,-0.0169492,33.09,-24.82,-45.91,-0.1282002,-0.2371812,-0.1992032,-36.85,2.91,143.68,36.95,.52,0.8,1.4493142,0.0,166.7805751,5.59,4.68,27.87,,"97,670,980.","1,531,510.","565,439.49",-14.0,-81.04,772.2528259,-369.0347359,-528.5675205,1110.2602529,121.41,68.06,111.18,74.3,6.42,329.91,485.96,46.92,-8.54,-67.69,-97.53,-15.87,-49.42,"-5,168.",-29.7,-59.51,"17,914,971,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2020,-0.2854371,-1.8482338,-0.8725533,-28.54,-0.4129278,-0.3275862,-23.75,-120.4,-146.45,-0.2372204,-0.2885375,-0.4155979,-50.55,29.09,173.4,13.25,.2,0.35,0.4590453,0.0,51.7675876,2.96,1.98,1.7,,"162,680,540.","2,131,510.","1,276,211.44",-14.69,-115.26,317.6896206,-460.2266044,-42.6353968,703.1642818,40.29,46.56,141.77,136.,2.21,13.8,102.25,114.76,-4.14,-52.25,-88.32,-24.16,-138.76,"-8,796.9",-81.71,-31.57,"54,578,385,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2021,-0.9878637,0.7439345,0.5466676,-98.79,-0.4449939,0.1025641,10.08,-55.55,-119.62,-0.0825217,-0.1776986,-0.2522891,-54.33,44.35,142.05,-24.49,.15,0.45,0.2207644,0.0,309.7971418,4.61,1.64,-2.56,,"91,678,880.","991,900.","795,590.43",,,255.6744304,-199.7789277,-99.3225688,5.3376076,-97.94,1.28,22.72,17.28,2.52,,191.92,"7,700.76",-1.25,-45.01,-65.91,-47.1,-233.35,,,,"57,007,802,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2022,14.6555902,-0.4279498,0.4044453,"1,465.56",-0.0176829,-0.3255814,12.65,-80.75,-72.52,-0.232705,-0.2089924,-1.8038607,-162.,7.06,133.59,-8.76,.29,2.23,0.3308608,0.0,95.8602196,5.27,3.5,-.83,,"156,203,170.",.,"577,125.64",-3.78,-13.96,251.1533755,-360.8908505,,217.1986158,-22.47,30.64,122.42,103.58,18.6,84.02,"1,165.77",226.41,-11.44,-34.7,-267.18,-24.07,-123.09,,-19.64,-404.66,"25,130,475,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2023,1.8625479,0.1684635,0.9003492,186.25,1.0666724,1.1034483,51.83,-61.74,-6.51,-0.2402635,-0.0253308,-0.4217595,-4.45,1.21,97.19,6.5,.39,0.68,0.9042621,1.107875912,1.336811834,6.09,4.39,2.44,,"110,003,050.","458,180.","280,300.65",35.22,89.75,280.7,-18.2721723,,545.2320858,8.67,81.41,310.56,257.38,116.64,25.26,430.32,22.84,-50.9,4.53,31.52,.84,2.25,"21,547.23",90.51,84.24,"16,462,573,000."
N004642,A038340,MIT,(주)무궁화인포메이션테크놀로지,204311-0000419,409-81-06684,1967-04-07,2001-11-22,2025-03-28,외감,12.0,중소기업,,무궁화인포메이션테크놀로지,"N45203.전자장비와 기기, 부품",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",코스닥,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,기업의계속성_경영의투명성종합판단,2024,0.1874894,-0.2897921,-8.5661697,18.75,-0.1985412,-0.0163934,13.74,-16.15,-13.41,-0.137454,-0.1141795,-0.3249878,-27.0,3.96,112.5,1.28,.85,2.01,1.4750905,0.0,0.0,11.8,5.19,14.06,,"110,703,210.","5,863,560.","375,199.88",,,1172.8730844,-157.3287452,-98.6767884,517.0381263,3.12,42.3,115.75,96.98,27.62,119.16,187.95,136.43,-4.07,-35.58,-50.34,-13.23,-67.69,,,,"27,289,880,000."
N001097,A039230,에이아이비트,제이앤케이인더스트리(주),110111-1284259,119-81-21292,1996-06-19,2000-06-22,2021-10-06,외감,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),"C27000.의료, 정밀, 광학 기기 및 시계 제조업",코스닥,감사의견 거절(감사범위 제한),감사의견거절,2014,0.0143086,0.0802864,0.9017263,1.43,0.4626641,0.1428571,20.81,2.49,0.71,0.0188046,0.0053932,0.0495358,1.42,2.32,99.08,18.16,.76,1.99,1.2177244,0.0,186.8080095,26.85,3.3,-2.67,,"225,335,270.","4,622,970.","450,269.37",9.83,19.63,1939.2607107,13.84437,65.1795132,981.3995454,96.28,37.02,54.13,46.54,6.04,,151.01,170.14,1.07,-4.27,-7.22,-2.44,-3.97,956.97,15.64,84.31,"90,445,468,000."
N001097,A039230,에이아이비트,제이앤케이인더스트리(주),110111-1284259,119-81-21292,1996-06-19,2000-06-22,2021-10-06,외감,12.0,중소기업,,,N45301.반도체 및 반도체장비,C00000.제조업(10~34),"C27000.의료, 정밀, 광학 기기 및 시계 제조업",코스닥,감사의견 거절(감사범위 제한),감사의견거절,2015,0.023197,-1.8531006,-1.3155072,2.32,-0.2844667,0.0572917,16.01,-2.97,-0.31,-0.0148513,-0.0015753,-0.0414798,-0.44,2.36,102.05,17.57,0.5,1.4,0.7795259,0.0,231.15991,8.29,2.1,-2.0,,"210,430,390.","4,129,250.","452,406.2",,,1387.6055753,-12.6800555,-1.6850757,1008.5492962,101.71,34.69,60.7,48.14,6.76,,120.42,188.26,-1.26,-1.74,-3.25,-1.06,-2.0,,,,"96,573,443,000."
